T	x(Al)	x(Zn)	phase_name	f(@FCC_A1#1)	f(@FCC_A1#2)	f(@HCP_A3)	f(@Liquid)	G	H	S
K	mole/mole	mole/mole								
655.1917296	0.1100164005	0.8899835995	Liquid+FCC_A1+HCP_A3	0		0.009075425392	0.9909245746	-30817.786	18351.49251	75.04563365
655.1917296	0.1093914005	0.8906085995	Liquid+FCC_A1+HCP_A3	0		0.01633576246	0.9836642375	-30822.15653	18291.57161	74.96084875
655.1917296	0.1081414005	0.8918585995	Liquid+FCC_A1+HCP_A3	0		0.03085643659	0.9691435634	-30830.8976	18171.72982	74.79127896
655.1917296	0.1056414005	0.8943585995	Liquid+FCC_A1+HCP_A3	0		0.05989778489	0.9401022151	-30848.37973	17932.04624	74.45213938
655.1917295	0.1006414005	0.8993585995	Liquid+FCC_A1+HCP_A3	0		0.1179804814	0.8820195186	-30883.344	17452.67908	73.77386022
655.1917296	0.09064140048	0.9093585995	Liquid+FCC_A1+HCP_A3	0		0.2341458746	0.7658541254	-30953.27253	16493.94474	72.4173019
655.1917296	0.07064140048	0.9293585995	Liquid+FCC_A1+HCP_A3	0		0.4664766608	0.5335233392	-31093.12961	14576.47608	69.70418525
655.1917296	0.05064140048	0.9493585995	Liquid+FCC_A1+HCP_A3	0		0.698807447	0.301192553	-31232.98668	12659.00742	66.99106861
655.1917296	0.03064140048	0.9693585995	Liquid+FCC_A1+HCP_A3	0		0.9311382334	0.06886176656	-31372.84375	10741.53876	64.27795196
655.1917295	0.02564140048	0.9743585995	Liquid+FCC_A1+HCP_A3	0		0.9892209299	0.01077907008	-31407.80802	10262.1716	63.5996728
655.1917296	0.02501640048	0.9749835995	Liquid+FCC_A1+HCP_A3	0		0.996481267	0.003518733001	-31412.17855	10202.2507	63.5148879
655.1917296	0.02486015048	0.9751398495	Liquid+FCC_A1+HCP_A3	0		0.9982963513	0.00170364873	-31413.27119	10187.27048	63.49369168
655.1917296	0.02478202548	0.9752179745	Liquid+FCC_A1+HCP_A3	0		0.9992038934	0.0007961065962	-31413.8175	10179.78037	63.48309356
655.1917296	0.02474296298	0.975257037	Liquid+FCC_A1+HCP_A3	0		0.9996576645	0.0003423355291	-31414.09066	10176.03531	63.47779451
655.1917296	0.02472343173	0.9752765683	Liquid+FCC_A1+HCP_A3	0		0.99988455	0.0001154499955	-31414.22724	10174.16278	63.47514498
655.1917296	0.02471366611	0.9752863339	Liquid+FCC_A1+HCP_A3	0		0.9999979928	2.007228771E-06	-31414.29553	10173.22652	63.47382022
										
655.1917296	0.02471349331	0.9752865067	Liquid+HCP_A3			1	0	-31414.29674	10173.20995	63.47379678
655.5941665	0.0244738123	0.9755261877	Liquid+HCP_A3			1	0	-31441.51313	10180.35457	63.48724535
655.8622787	0.0243137241	0.9756862759	Liquid+HCP_A3			1	0	-31459.64375	10185.10696	63.49618214
656.3980777	0.02399283473	0.9760071653	Liquid+HCP_A3			1	0	-31495.87213	10194.58634	63.51398623
657.4679995	0.02334825979	0.9766517402	Liquid+HCP_A3			1	0	-31568.1965	10213.44524	63.54931612
659.6013355	0.02204834805	0.9779516519	Liquid+HCP_A3			1	0	-31712.30737	10250.77651	63.61885829
663.8435053	0.01940865391	0.9805913461	Liquid+HCP_A3			1	0	-31998.2975	10323.99163	63.75341295
672.2410884	0.01399205999	0.98600794	Liquid+HCP_A3			1	0	-32560.403	10465.34048	64.00344196
688.7654753	0.002749362187	0.9972506378	Liquid+HCP_A3			1	0	-33624.46235	10732.33372	64.40043477
690.8111525	0.001315196515	0.9986848035	Liquid+HCP_A3			1	0	-33745.37734	10764.56311	64.43141557
691.8326315	0.0005961744938	0.9994038255	Liquid+HCP_A3			1	0	-33802.59722	10780.59924	64.4421706
692.3430431	0.0002361971615	0.9997638028	Liquid+HCP_A3			1	0	-33829.43632	10788.59834	64.44498159
692.5981684	5.609416343E-05	0.9999439058	Liquid+HCP_A3			1	0	-33841.72085	10792.59324	64.44474751
692.6619415	1.105661337E-05	0.9999889434	Liquid+HCP_A3			1	0	-33844.40522	10793.59148	64.44413072
692.6699128	5.426587497E-06	0.9999945734	Liquid+HCP_A3			1	0	-33844.69738	10793.71625	64.443991
692.6738985	2.611548027E-06	0.9999973885	Liquid+HCP_A3			1	0	-33844.8318	10793.77863	64.4439043
										
655.1917296	0.02471349331	0.9752865067	FCC_A1+HCP_A3	0		1		-31414.29674	10173.20995	63.47379678
654.880839	0.02468503414	0.9753149659	FCC_A1+HCP_A3	0		1		-31394.76459	10163.58855	63.45941224
654.5699482	0.02465657811	0.9753434219	FCC_A1+HCP_A3	0		1		-31375.23687	10153.96845	63.44502285
653.9481657	0.02459967559	0.9754003244	FCC_A1+HCP_A3	0		1		-31336.19476	10134.73218	63.41622948
652.7045971	0.02448590915	0.9755140909	FCC_A1+HCP_A3	0		1		-31258.16385	10096.27534	63.35858422
650.2174456	0.02425853458	0.9757414654	FCC_A1+HCP_A3	0		1		-31102.31557	10019.4244	63.24305854
645.2430819	0.02380445013	0.9761955499	FCC_A1+HCP_A3	0		1		-30791.47552	9865.973281	63.01105728
635.2940897	0.02289919319	0.9771008068	FCC_A1+HCP_A3	0		1		-30173.24045	9560.072231	62.54318011
615.3948645	0.02110239529	0.9788976047	FCC_A1+HCP_A3	0		1		-28950.70833	8952.261251	61.59129977
595.4936459	0.01932785657	0.9806721434	FCC_A1+HCP_A3	0		1		-27747.07814	8349.747128	60.61664219
575.5900553	0.01758017873	0.9824198213	FCC_A1+HCP_A3	0		1		-26562.7621	7752.498677	59.61753589
555.6838108	0.01586305436	0.9841369456	FCC_A1+HCP_A3	0		1		-25398.21906	7160.470434	58.59211455
553.1953391	0.0156506457	0.9843493543	FCC_A1+HCP_A3	0		1		-25254.06701	7086.830007	58.46198393
551.9510877	0.01554462386	0.9844553761	FCC_A1+HCP_A3	0		1		-25182.1103	7050.039741	58.39675066
551.3289582	0.01549165798	0.984508342	FCC_A1+HCP_A3	0		1		-25146.16184	7031.652073	58.36409178
551.0178924	0.01546518624	0.9845348138	FCC_A1+HCP_A3	0		1		-25128.1951	7022.460104	58.34775175
550.8623594	0.01545195316	0.9845480468	FCC_A1+HCP_A3	0		1		-25119.21359	7017.864584	58.33957908
550.7845927	0.01544533731	0.9845546627	FCC_A1+HCP_A3	0		1		-25114.72331	7015.56694	58.33549208
550.7457094	0.01544202957	0.9845579704	FCC_A1+HCP_A3	0		1		-25112.47829	7014.418147	58.33344842
550.7262678	0.01544037573	0.9845596243	FCC_A1+HCP_A3	0		1		-25111.3558	7013.843759	58.33242655
550.7214074	0.01543996228	0.9845600377	FCC_A1+HCP_A3	0		1		-25111.07518	7013.700162	58.33217107
										
550.7211448	0.01543993994	0.9845600601	HCP_A3+FCC_A1	0		1		-25111.06003	7013.692406	58.33215727
550.2562716	0.01538348591	0.9846165141	HCP_A3+FCC_A1	0		1		-25084.34479	6999.629352	58.30733023
549.9463504	0.01534589789	0.9846541021	HCP_A3+FCC_A1	0		1		-25066.54022	6990.256109	58.29077019
549.3264938	0.0152708381	0.9847291619	HCP_A3+FCC_A1	0		1		-25030.94448	6971.514743	58.25762927
548.0867237	0.01512118957	0.9848788104	HCP_A3+FCC_A1	0		1		-24959.80661	6934.052585	58.19126393
545.6069521	0.01482382147	0.9851761785	HCP_A3+FCC_A1	0		1		-24817.74532	6859.211271	58.05819825
540.6464538	0.01423711939	0.9857628806	HCP_A3+FCC_A1	0		1		-24534.48104	6709.865633	57.79071786
530.7214869	0.01309785526	0.9869021447	HCP_A3+FCC_A1	0		1		-23971.39964	6412.553933	57.25027971
510.8552355	0.01096658197	0.989033418	HCP_A3+FCC_A1	0		1		-22859.23314	5823.619672	56.1467336
490.9678194	0.009043233845	0.9909567662	HCP_A3+FCC_A1	0		1		-21766.30065	5242.463144	55.01127106
471.0609327	0.007333585418	0.9926664146	HCP_A3+FCC_A1	0		1		-20693.44719	4669.178674	53.84149716
451.1369061	0.005837310884	0.9941626891	HCP_A3+FCC_A1	0		1		-19641.6465	4103.751229	52.63457148
431.1983434	0.004549589507	0.9954504105	HCP_A3+FCC_A1	0		1		-18611.97172	3546.076582	51.38713689
411.2478916	0.003461915227	0.9965380848	HCP_A3+FCC_A1	0		1		-17605.58337	2995.970629	50.09522097
391.2880812	0.002562592241	0.9974374078	HCP_A3+FCC_A1	0		1		-16623.72727	2453.175056	48.75411044
371.3212103	0.001837115738	0.9981628843	HCP_A3+FCC_A1	0		1		-15667.73954	1917.362427	47.35819415
351.3492656	0.00126854609	0.9987314539	HCP_A3+FCC_A1	0		1		-14739.05838	1388.142417	45.90076706
331.3738769	0.0008379495685	0.9991620504	HCP_A3+FCC_A1	0		1		-13839.24245	865.0704216	44.37378411
311.3963036	0.0005249600308	0.99947504	HCP_A3+FCC_A1	0		1		-12969.99681	347.6595023	42.76754785
291.4174539	0.0003084973963	0.9996915026	HCP_A3+FCC_A1	0		1		-12133.20768	-164.6037823	41.07030562
271.4379293	0.0001676504037	0.9998323496	HCP_A3+FCC_A1	0		1		-11330.98788	-672.2396962	39.26771843
251.4580896	8.268648182E-05	0.9999173135	HCP_A3+FCC_A1	0		1		-10565.73604	-1175.752796	37.34214021
241.4681164	5.557400117E-05	0.999944426	HCP_A3+FCC_A1	0		1		-10197.81943	-1426.110919	36.32657034
231.4781253	3.609018235E-05	0.9999639098	HCP_A3+FCC_A1	0		1		-9840.21408	-1675.608788	35.27160625
221.4881245	2.254058793E-05	0.9999774594	HCP_A3+FCC_A1	0		1		-9493.338846	-1924.295243	34.1735866
211.4981186	1.346474795E-05	0.9999865353	HCP_A3+FCC_A1	0		1		-9157.65009	-2172.214555	33.0283578
201.5081103	7.642076031E-06	0.9999923579	HCP_A3+FCC_A1	0		1		-8833.647195	-2419.406273	31.83117996
191.5181009	4.088172542E-06	0.9999959118	HCP_A3+FCC_A1	0		1		-8521.879165	-2665.905264	30.57660802
181.5280911	2.041328185E-06	0.9999979587	HCP_A3+FCC_A1	0		1		-8222.952572	-2911.741966	29.25833998
171.5380812	9.400182589E-07	0.99999906	HCP_A3+FCC_A1	0		1		-7937.541237	-3156.942815	27.8690212
161.5482271	1E-50	1	HCP_A3+FCC_A1	0		1.000000363		-7666.405037	-3401.528254	26.4000222
151.5603872	1E-50	1	HCP_A3+FCC_A1	0		1.000000066		-7410.428529	-3645.469796	24.84131112
131.5803672	1.30176816E-08	0.999999987	HCP_A3+FCC_A1	0		1		-6947.685457	-4131.754586	21.40084369
111.6003493	1E-50	1	HCP_A3+FCC_A1	0		1		-6558.894614	-4615.872859	17.4105347
91.65890216	1E-50	1	HCP_A3+FCC_A1	0		1		-6257.536768	-5097.018987	12.66126643
71.67888216	1E-50	1	HCP_A3+FCC_A1	0		1		-6061.211349	-5577.175406	6.752838889
51.69886242	1E-50	1	HCP_A3+FCC_A1	0		1		-6000.234526	-6055.530575	-1.069579618
31.71884267	1E-50	1	HCP_A3+FCC_A1	0		1		-6128.646773	-6532.205576	-12.72299898
11.73882293	1E-50	1	HCP_A3+FCC_A1	0		1		-6580.567886	-7007.321495	-36.35403747
6.743817992	1E-50	1	HCP_A3+FCC_A1	0		1		-6791.994422	-7125.871073	-49.50855017
4.246315524	1E-50	1	HCP_A3+FCC_A1	0		1		-6928.292025	-7185.112772	-60.48084408
1.748813056	1E-50	1	HCP_A3+FCC_A1	0		1		-7101.777725	-7244.332809	-81.51533595
1.124437439	1E-50	1	HCP_A3+FCC_A1	0		1		-7155.702649	-7259.134538	-91.98545468
1.046390487	1E-50	1	HCP_A3+FCC_A1	0		1		-7162.947556	-7260.984671	-93.69075446
1.007367011	1E-50	1	HCP_A3+FCC_A1	0		1		-7166.621149	-7261.90973	-94.59172332
1.002489076	1E-50	1	HCP_A3+FCC_A1	0		1		-7167.08284	-7262.025363	-94.70679059
										
550.7211448	0.01543993994	0.9845600601	FCC_A1+HCP_A3+FCC_A1	0	0	1		-25111.06003	7013.692406	58.33215727
550.7211448	0.01590868994	0.9840913101	FCC_A1+HCP_A3+FCC_A1	0	0.0005584156322	0.9994415844		-25107.77043	7014.308425	58.32730259
550.7211448	0.01622118994	0.9837788101	FCC_A1+HCP_A3+FCC_A1	0	0.0009306927241	0.9990693073		-25105.57737	7014.719105	58.32406613
550.7211448	0.01684618994	0.9831538101	FCC_A1+HCP_A3+FCC_A1	0	0.001675246907	0.9983247531		-25101.19124	7015.540464	58.31759322
550.7211448	0.01809618994	0.9819038101	FCC_A1+HCP_A3+FCC_A1	0	0.003164355276	0.9968356447		-25092.41898	7017.183183	58.3046474
550.7211448	0.02059618994	0.9794038101	FCC_A1+HCP_A3+FCC_A1	0	0.006142572012	0.993857428		-25074.87446	7020.46862	58.27875575
550.7211448	0.02559618994	0.9744038101	FCC_A1+HCP_A3+FCC_A1	0	0.01209900548	0.9879009945		-25039.78543	7027.039493	58.22697244
550.7211448	0.03559618994	0.9644038101	FCC_A1+HCP_A3+FCC_A1	0	0.02401187242	0.9759881276		-24969.60737	7040.181241	58.12340585
550.7211448	0.05559618994	0.9444038101	FCC_A1+HCP_A3+FCC_A1	0	0.04783760631	0.9521623937		-24829.25124	7066.464737	57.91627265
550.7211449	0.07559618994	0.9244038101	FCC_A1+HCP_A3+FCC_A1	0	0.07166334019	0.9283366598		-24688.89511	7092.748234	57.70913945
